Survey Response Number,Q1_How many years have you worked for the City?,Q2_Have you ever transferred departments within the City?,AltQ3A_ Additional career advancement opportunities,AltQ3B_ Attractive retention incentives in the new department,AltQ3C_ Better compensation/salary,AltQ3D_ Better management/ co-workers/ department culture,AltQ3E_ Dissatisfaction with how I was treated in my previous department,AltQ3F_ More opportunities for telework/ flexible work hours,Q4A_I intend to be working for the City 1 year from now.,Q4B_I intend to be working for the City 5 years from now.,Q4C_I intend to retire from the City.,"Q5_Since becoming a City of Austin employee, when was the last time you applied for a job outside the City?","Q6A_Benefits (including insurance, vacation, etc.)",Q6B_Career advancement opportunities,Q6C_Commitment to public service,Q6D_Compensation/salary,Q6E_Fair and equitable treatment,Q6F_Management/ co-workers/ department culture,Q6G_Retirement/ pension,Q6H_Telework/ flexible work hours,Q7_Do the training and development opportunities offered by your department improve your desire to stay with the City?,Q8_Do the training and development opportunities offered by the City improve your desire to stay with the City?,Q9A_I am satisfied with my current work/life balance.,Q9B_I feel valued by my management.,Q9C_I would recommend my department to a friend.,Q9D_I would recommend the City as an employer to a friend.,Q10_What Department are you with?,Q11_Does the retention program offered by your department improve your desire to stay with the City? Retention program refers to any monetary incentives added to base pay.
5416,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Of Little Importance,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,No,No,Neutral,Disagree,Neutral,Neutral,Development Services Department,I am not eligible for my department's retention program.
5417,Between 1 and 5 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Very Important,Very Important,Of Little Importance,Not Important At All,Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Agree,Agree,Agree,Agree,Austin Public Health,No
5418,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,No,No,Neutral,Strongly Disagree,Disagree,Disagree,Austin Public Library,I am not aware of any retention programs offered by my department.
5419,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Extremely unlikely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,No,No,Agree,Neutral,Strongly Disagree,Strongly Disagree,Police Department,
5420,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,Within the past 3 months,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Strongly Disagree,Disagree,Neutral,Austin Energy,I am not aware of any retention programs offered by my department.
5421,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,Within the past 3 months,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Strongly Agree,Agree,Agree,Austin-Bergstrom International Airport,Yes
5422,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely unlikely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Disagree,Disagree,Disagree,Austin Energy,I am not aware of any retention programs offered by my department.
5423,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Unlikely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Yes,No,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fire Department,
5424,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Disagree,Agree,Strongly Agree,Small and Minority Business Resources,
5425,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Energy,I am not eligible for my department's retention program.
5426,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,3 months to 6 months ago,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Yes,Yes,Neutral,Agree,Agree,Strongly Agree,Austin Water,Yes
5427,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Neutral,Unlikely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Neither Important Nor Unimportant,No,Yes,Agree,Strongly Agree,Neutral,Agree,Austin/Travis County Emergency Medical Services,
5428,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Yes,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Austin Public Library,I am not eligible for my department's retention program.
5429,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Neither Important Nor Unimportant,Of Little Importance,Of Little Importance,Likely,Neutral,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Yes,Yes,Agree,Agree,Agree,Agree,Development Services Department,Yes
5430,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Agree,Agree,Strongly Agree,Parks and Recreation,
5431,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,No,No,Agree,Neutral,Disagree,Agree,Parks and Recreation,
5432,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Neutral,Over 6 months ago,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,No,Agree,Neutral,Agree,Disagree,I Prefer Not to Disclose,
5433,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Within the past 3 months,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Very Important,Not Important At All,No,No,Agree,Neutral,Neutral,Neutral,I Prefer Not to Disclose,
5434,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Neither Important Nor Unimportant,No,No,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Police Department,
5435,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Neutral,Agree,Agree,Austin-Bergstrom International Airport,Yes
5436,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Agree,Agree,Agree,Austin Energy,I am not aware of any retention programs offered by my department.
5437,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin 3-1-1,
5438,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Yes,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Community Court,
5439,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Likely,Extremely unlikely,I have not applied for any jobs outside the City,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Not Important At All,No,No,Agree,Neutral,Neutral,Neutral,Parks and Recreation,
5440,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Agree,Strongly Agree,Strongly Agree,Neutral,Austin Water,Yes
5441,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,Over 6 months ago,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,No,Yes,Agree,Agree,Neutral,Agree,Financial Services Department,
5442,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Extremely unlikely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Disagree,Disagree,Disagree,Austin/Travis County Emergency Medical Services,
5443,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Agree,Neutral,Agree,Strongly Agree,Fleet Mobility Services,I am not aware of any retention programs offered by my department.
5444,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Water,Yes
5445,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Neutral,Agree,Agree,Austin Public Library,I am not aware of any retention programs offered by my department.
5446,More than 15 years,"Yes, I have transferred between City departments.",Of Little Importance,Not Important At All,Of Little Importance,Of Little Importance,Of Little Importance,Not Important At All,Likely,Likely,Likely,Over 6 months ago,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,No,No,Neutral,Agree,Neutral,Agree,Financial Services Department,
5447,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Communications and Technology Management,
5448,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,Within the past 3 months,Absolutely Essential,Of Little Importance,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,No,Disagree,Disagree,Neutral,Strongly Agree,Austin Energy,I am not aware of any retention programs offered by my department.
5449,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely unlikely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Strongly Agree,Agree,Agree,Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
5450,6 to 10 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Agree,Agree,Agree,Agree,Austin-Bergstrom International Airport,Yes
5451,11 to 15 years,"Yes, I have transferred between City departments.",Not Important At All,Not Important At All,Not Important At All,Absolutely Essential,Absolutely Essential,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Austin Energy,I am not aware of any retention programs offered by my department.
5452,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Neutral,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Communications and Technology Management,
5453,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Neutral,Over 6 months ago,Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Of Little Importance,Yes,No,Neutral,Disagree,Disagree,Disagree,Fire Department,
5454,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Of Little Importance,Very Important,Very Important,No,No,Neutral,Strongly Disagree,Neutral,Neutral,Housing Department,
5455,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Not Important At All,Very Important,Of Little Importance,Of Little Importance,Very Important,Of Little Importance,No,No,Agree,Agree,Disagree,Strongly Disagree,Police Department,
5456,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Agree,Strongly Agree,Agree,Disagree,Austin Energy,I am not aware of any retention programs offered by my department.
5457,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Not Important At All,Yes,I am unaware of any training or development opportunities offered the City.,Agree,Neutral,Agree,Agree,Capital Delivery Services,
5458,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Neutral,Neutral,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,No,No,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Housing Department,
5459,11 to 15 years,"Yes, I have transferred between City departments.",Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Likely,Unlikely,Likely,3 months to 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,No,No,Strongly Disagree,Disagree,Disagree,Agree,I Prefer Not to Disclose,
5460,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Unlikely,Extremely unlikely,Extremely unlikely,I have not applied for any jobs outside the City,Neither Important Nor Unimportant,Not Important At All,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Capital Delivery Services,
5461,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Unlikely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Yes,Yes,Agree,Agree,Strongly Agree,Strongly Agree,Austin Water,Yes
5462,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Unlikely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Development Services Department,Yes
5463,More than 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Yes,I am unaware of any training or development opportunities offered the City.,Agree,Neutral,Agree,Strongly Agree,Police Department,
5464,6 to 10 years,"Yes, I have transferred between City departments.",Very Important,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Extremely Likely,Likely,Likely,Over 6 months ago,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,No,I am unaware of any training or development opportunities offered the City.,Disagree,Strongly Disagree,Disagree,Neutral,Financial Services Department,
5465,Less than a year,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Neutral,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Yes,Yes,Strongly Agree,Agree,Agree,Agree,Financial Services Department,
5466,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely unlikely,Extremely unlikely,Extremely unlikely,Within the past 3 months,Very Important,Very Important,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Very Important,Very Important,Absolutely Essential,No,No,Disagree,Strongly Disagree,Disagree,Agree,Austin Energy,I am not aware of any retention programs offered by my department.
5467,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Neutral,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,No,No,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Police Department,
5468,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Neutral,Over 6 months ago,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Yes,No,Neutral,Neutral,Neutral,Agree,Austin Water,I am not aware of any retention programs offered by my department.
5469,6 to 10 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Extremely Likely,Neutral,Neutral,3 months to 6 months ago,Very Important,Very Important,Not Important At All,Absolutely Essential,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Absolutely Essential,No,No,Disagree,Agree,Agree,Neutral,Austin Energy,I am not aware of any retention programs offered by my department.
5470,Between 1 and 5 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Neutral,Neutral,Neutral,I have not applied for any jobs outside the City,Very Important,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Very Important,Very Important,Neither Important Nor Unimportant,I am unaware of any training or development opportunities offered by my department.,I am unaware of any training or development opportunities offered the City.,Agree,Agree,Neutral,Agree,City Council,
5471,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Unlikely,Extremely unlikely,Unlikely,3 months to 6 months ago,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,No,I am unaware of any training or development opportunities offered the City.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Police Department,
5472,More than 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Neither Important Nor Unimportant,No,No,Strongly Agree,Agree,Agree,Neutral,Fire Department,
5473,6 to 10 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Extremely unlikely,Over 6 months ago,Very Important,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,Neither Important Nor Unimportant,Neither Important Nor Unimportant,Very Important,No,Yes,Neutral,Neutral,Agree,Agree,Austin Energy,I am not aware of any retention programs offered by my department.
5474,6 to 10 years,"Yes, I have transferred between City departments.",Absolutely Essential,Neither Important Nor Unimportant,Absolutely Essential,Very Important,Of Little Importance,Neither Important Nor Unimportant,Extremely Likely,Extremely Likely,Extremely Likely,Over 6 months ago,Absolutely Essential,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,I am unaware of any training or development opportunities offered by my department.,Yes,Agree,Agree,Agree,Agree,Transportation and Public Works,I am not eligible for my department's retention program.
5475,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Likely,Neutral,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Neither Important Nor Unimportant,Yes,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Austin Public Library,I am not aware of any retention programs offered by my department.
5476,Less than a year,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Unlikely,Unlikely,Unlikely,3 months to 6 months ago,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Yes,Disagree,Agree,Agree,Agree,I Prefer Not to Disclose,
5477,More than 15 years,"Yes, I have transferred between City departments.",Very Important,Very Important,Very Important,Very Important,Very Important,Of Little Importance,Likely,Likely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Not Important At All,No,No,Disagree,Disagree,Neutral,Neutral,Transportation and Public Works,No
5478,Between 1 and 5 years,"Yes, I have transferred between City departments.",Absolutely Essential,Absolutely Essential,Very Important,Very Important,Of Little Importance,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,Within the past 3 months,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Not Important At All,Yes,Yes,Strongly Agree,Neutral,Neutral,Strongly Agree,Austin Convention Center,
5479,11 to 15 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Likely,Unlikely,Likely,I have not applied for any jobs outside the City,Very Important,Very Important,Very Important,Very Important,Absolutely Essential,Very Important,Absolutely Essential,Very Important,Yes,Yes,Agree,Neutral,Agree,Agree,Communications and Technology Management,
5480,11 to 15 years,"No, I have not transferred between City departments. I also have not applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Absolutely Essential,Neither Important Nor Unimportant,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Neither Important Nor Unimportant,Very Important,No,No,Disagree,Disagree,Agree,Strongly Agree,Parks and Recreation,
5481,More than 15 years,"Yes, I have transferred between City departments.",Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Not Important At All,Extremely Likely,Extremely Likely,Extremely Likely,I have not applied for any jobs outside the City,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Of Little Importance,Not Important At All,Yes,I am unaware of any training or development opportunities offered the City.,Strongly Agree,Strongly Agree,Agree,Agree,Development Services Department,I am not aware of any retention programs offered by my department.
5482,Between 1 and 5 years,"No, I have not transferred between City departments. However, I have applied to a job in another department while at my current department.",,,,,,,Extremely Likely,Extremely Likely,Likely,I have not applied for any jobs outside the City,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Yes,Yes,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Transportation and Public Works,I am not aware of any retention programs offered by my department.
